Source,Target,Weight,Raw distance
BGC0000229.1,BGC0000234.1,0.3330026865005493,0.4229361414909363
BGC0001596.1,BGC0001904.1,0.2310545593500137,0.5193186402320862
BGC0000982.1,BGC0001009.1,0.5484224557876587,0.2594445049762726
BGC0001023.1,BGC0001047.1,0.17349116504192352,0.583477258682251
BGC0001023.1,BGC0001876.1,0.181502103805542,0.5739693641662598
BGC0001009.1,BGC0001941.1,0.2481086403131485,0.5018949508666992
BGC0001418.1,BGC0001431.1,0.2356841117143631,0.514526903629303
BGC0000999.1,BGC0001556.1,0.270910918712616,0.4795089662075043
BGC0001023.1,BGC0001430.1,0.3544186055660248,0.40466931462287903
BGC0000234.1,BGC0000239.1,0.2143155336380005,0.5370577573776245
BGC0000253.1,BGC0000270.1,0.16423176229000092,0.5947448015213013
BGC0001043.1,BGC0001553.1,0.36746394634246826,0.3938119411468506
BGC0000272.1,NZ_JNXG01000018.region004,0.1715305894613266,0.5858374834060669
BGC0001553.1,BGC0001726.1,0.3456961214542389,0.4120407104492188
BGC0001419.1,BGC0001427.1,0.1779135763645172,0.578201949596405
BGC0000271.1,BGC0001366.1,0.17758327722549438,0.5785936713218689
BGC0000239.1,BGC0001723.1,0.4726998209953308,0.3124683201313019
BGC0001424.1,BGC0001425.1,0.7445774674415588,0.13711097836494446
BGC0001023.1,BGC0001422.1,0.2689103186130524,0.4814343452453613
BGC0000982.1,BGC0001024.1,0.2425467818975449,0.5075095891952515
BGC0000208.1,BGC0000275.1,0.2045664489269257,0.5477097630500793
BGC0001090.1,BGC0001103.1,0.2709159851074219,0.4795040786266327
BGC0000226.1,BGC0000270.1,0.19931943714618686,0.5535479784011841
BGC0000236.1,BGC0001661.1,0.19200827181339264,0.5618125200271606
BGC0000221.1,BGC0002000.1,0.1923048496246338,0.5614742040634155
BGC0001422.1,BGC0001427.1,0.5357657670974731,0.2680397629737854
BGC0000226.1,BGC0001661.1,0.1891062557697296,0.5651364922523499
BGC0000383.1,BGC0000436.1,0.2821975648403168,0.4687772691249848
BGC0000215.1,BGC0001512.1,0.7145377993583679,0.15469661355018616
BGC0001179.1,BGC0001719.1,0.8203774690628052,0.09425307810306548
BGC0001421.1,BGC0001427.1,0.8530029654502869,0.07641840726137161
BGC0000229.1,BGC0001723.1,0.2747458517551422,0.4758379459381104
BGC0000234.1,BGC0001384.1,0.21404369175434115,0.5373514294624329
BGC0000253.1,BGC0001723.1,0.9885196685791016,0.005756735801696777
BGC0001427.1,BGC0001431.1,0.3278583288192749,0.4274108409881592
BGC0001417.1,BGC0001428.1,0.17145158350467682,0.5859329104423523
BGC0000271.1,NZ_JNXG01000018.region004,0.5407725572586061,0.264627605676651
BGC0000256.1,BGC0001366.1,0.16520361602306366,0.593547523021698
BGC0000226.1,BGC0000239.1,0.3357090353965759,0.4205959737300873
BGC0001418.1,BGC0001420.1,0.7711486220359802,0.12184932827949525
BGC0000235.1,BGC0001384.1,0.2278706133365631,0.5226420760154724
BGC0001895.1,BGC0002000.1,0.2207460105419159,0.5301638245582581
BGC0000234.1,BGC0000268.1,0.20793886482715607,0.5439968705177307
BGC0002000.1,BGC0002012.1,0.1789589673280716,0.5769645571708679
BGC0000229.1,BGC0000231.1,0.7969785928726196,0.10726343095302583
BGC0000226.1,BGC0000234.1,0.1948971152305603,0.5585284829139711
BGC0000215.1,BGC0001062.1,0.3589537739753723,0.40087249875068665
BGC0001417.1,BGC0001420.1,0.2345587313175201,0.5156873464584351
BGC0001019.1,BGC0001432.1,0.17002539336681366,0.5876586437225342
BGC0000996.1,BGC0001556.1,0.21844951808452606,0.5326141715049744
BGC0001384.1,BGC0001769.1,0.8504282832145691,0.07781331986188889
BGC0000235.1,BGC0000253.1,0.18545427918434146,0.5693559646606445
BGC0000231.1,BGC0002012.1,0.7699926495552063,0.122507743537426
BGC0000999.1,NZ_JNXG01000011.region002,0.4443935453891754,0.33337152004241943
BGC0000393.1,BGC0001363.1,0.18108537793159485,0.5744587182998657
BGC0000219.1,BGC0000275.1,0.20293980836868286,0.5495116114616394
BGC0001418.1,BGC0001428.1,0.16673150658607486,0.5916723012924194
BGC0000221.1,BGC0000234.1,0.22729097306728366,0.5232495665550232
BGC0001023.1,BGC0001429.1,0.4911206364631653,0.2991999983787537
BGC0001723.1,BGC0002012.1,0.2723372280597687,0.4781405925750733
BGC0000383.1,BGC0001047.1,0.2660195529460907,0.4842291474342346
BGC0001072.1,BGC0001723.1,0.5720521211624146,0.24365873634815216
BGC0000203.1,BGC0001723.1,0.4704998433589935,0.3140701055526733
BGC0001423.1,BGC0001428.1,0.7437899112701416,0.1375674456357956
BGC0001426.1,BGC0001430.1,0.22210460901260376,0.5287202596664429
BGC0000223.1,BGC0000231.1,0.7801657319068909,0.11673009395599365
BGC0000402.1,BGC0000984.1,0.17933928966522214,0.5765153169631958
BGC0001422.1,BGC0001432.1,0.17960749566555026,0.5761987566947937
BGC0001419.1,BGC0001426.1,0.17769597470760345,0.5784599781036377
BGC0000215.1,BGC0001730.1,0.3564951419830322,0.4029278457164765
BGC0001430.1,BGC0001431.1,0.2255064398050308,0.5251247882843018
BGC0000239.1,BGC0000253.1,0.21668502688407895,0.5345056056976318
BGC0000215.1,BGC0000271.1,0.6421366930007935,0.198665663599968
BGC0001010.1,BGC0001024.1,0.2807163596153259,0.4701732695102692
BGC0001424.1,BGC0001426.1,0.7439807653427124,0.13745680451393127
BGC0001023.1,BGC0001421.1,0.2148946225643158,0.5364327430725098
BGC0000999.1,BGC0001043.1,0.4948583543300629,0.2965382933616638
BGC0000223.1,BGC0000239.1,0.21793030202388766,0.5331699252128601
BGC0001422.1,BGC0001424.1,0.5806722640991211,0.23798145353794095
BGC0000271.1,BGC0000272.1,0.18551219999790192,0.5692887306213379
BGC0000215.1,BGC0001513.1,0.2490130662918091,0.5009878873825073
BGC0001556.1,BGC0001726.1,0.249389722943306,0.5006106495857239
BGC0001723.1,BGC0002028.1,0.2829319536685944,0.4680865108966827
BGC0001421.1,BGC0001426.1,0.852836012840271,0.0765087828040123
BGC0000221.1,BGC0001719.1,0.17646168172359467,0.5799265503883362
BGC0000275.1,BGC0001512.1,0.16546158492565155,0.5932303071022034
BGC0000215.1,NZ_JNXG01000018.region004,0.6236681342124939,0.2102733850479126
BGC0001072.1,BGC0002000.1,0.17948530614376068,0.5763429403305054
BGC0001427.1,BGC0001430.1,0.22166381776332852,0.5291880965232849
BGC0000267.1,BGC0001723.1,0.29239651560783386,0.4592629969120026
BGC0001417.1,BGC0001427.1,0.17611141502857208,0.5803437232971191
BGC0000201.1,BGC0001723.1,0.2398232817649841,0.5102824568748474
BGC0000234.1,BGC0001596.1,0.3721305131912232,0.38997498154640203
BGC0000235.1,BGC0002000.1,0.20198118686676025,0.5505768060684204
BGC0000235.1,BGC0001769.1,0.3057461977005005,0.44705677032470703
BGC0000234.1,BGC0001661.1,0.2261001169681549,0.5245001316070557
BGC0000234.1,BGC0000267.1,0.20371519029140472,0.5486518144607544
BGC0001596.1,BGC0002000.1,0.20350122451782227,0.5488889217376709
BGC0000984.1,BGC0002001.1,0.16652488708496094,0.5919253826141357
BGC0000215.1,BGC0000222.1,0.3541361093521118,0.40490663051605225
BGC0000236.1,BGC0001723.1,0.4656581580638886,0.317608505487442
BGC0000383.1,BGC0001023.1,0.18560437858104706,0.5691817402839661
BGC0000203.1,BGC0000234.1,0.3909596502780914,0.3747323453426361
BGC0001417.1,BGC0001419.1,0.2878997921943665,0.4634370505809784
BGC0001428.1,BGC0001429.1,0.16243256628513336,0.5969707369804382
BGC0001024.1,BGC0001941.1,0.2273205667734146,0.5232185125350952
BGC0001418.1,BGC0001429.1,0.43172645568847656,0.3429410457611084
BGC0000253.1,BGC0001596.1,0.17487384378910065,0.5818207859992981
BGC0000223.1,BGC0001723.1,0.577535092830658,0.24004271626472476
BGC0000221.1,BGC0000231.1,0.2634066343307495,0.4867684543132782
BGC0001023.1,BGC0001428.1,0.233041450381279,0.5172563195228577
BGC0001429.1,BGC0001432.1,0.26493051648139954,0.4852859973907471
BGC0001426.1,BGC0001431.1,0.3279072046279907,0.4273681640625
BGC0001024.1,BGC0001467.1,0.1644490659236908,0.5944768190383911
BGC0000201.1,BGC0000262.1,0.18805435299873352,0.5663476586341858
BGC0000383.1,BGC0001876.1,0.1671900898218155,0.5911111235618591
BGC0000955.1,BGC0001876.1,0.20137304067611692,0.5512539148330688
BGC0000223.1,BGC0001596.1,0.18810011446475985,0.5662949085235596
BGC0001421.1,BGC0001428.1,0.7342961430549622,0.1430892050266266
BGC0000215.1,BGC0000272.1,0.1801273226737976,0.5755859017372131
BGC0000267.1,BGC0001895.1,0.1960785835981369,0.5571923851966858
BGC0001424.1,BGC0001427.1,0.7441890239715576,0.1373361051082611
BGC0001023.1,BGC0001420.1,0.3079701066017151,0.4450494349002838
BGC0000065.1,NZ_JNXG01000006.region001,0.29948633909225464,0.4527465403079986
BGC0000235.1,BGC0002016.1,0.4560270309448242,0.324702262878418
BGC0000270.1,BGC0001904.1,0.4336430728435517,0.3414841890335083
BGC0001010.1,BGC0001941.1,0.2481086403131485,0.5018949508666992
BGC0000268.1,BGC0001723.1,0.3136452436447144,0.4399596154689789
BGC0001661.1,BGC0001904.1,0.495259165763855,0.2962534725666046
BGC0001425.1,BGC0001431.1,0.32761287689208984,0.42762523889541626
BGC0000231.1,BGC0000235.1,0.7739245891571045,0.12027015537023544
BGC0000215.1,BGC0001366.1,0.7180488109588623,0.15262238681316376
BGC0001438.1,BGC0001723.1,0.4731554687023163,0.31213703751564026
BGC0000267.1,BGC0002000.1,0.2927877902984619,0.4589013159275055
BGC0001422.1,BGC0001425.1,0.5354180932044983,0.2682773172855377
BGC0000271.1,BGC0001512.1,0.16848231852054596,0.5895340442657471
BGC0001419.1,BGC0001429.1,0.4599539637565613,0.32180094718933105
BGC0001421.1,BGC0001425.1,0.8535345792770386,0.07613065838813783
BGC0001467.1,BGC0001876.1,0.1675158590078354,0.5907130241394043
BGC0000996.1,NZ_JNXG01000011.region002,0.4733790159225464,0.3119745552539825
BGC0000984.1,BGC0001023.1,0.17551015317440033,0.5810607075691223
BGC0001417.1,BGC0001426.1,0.1758195459842682,0.5806915760040283
BGC0000236.1,BGC0000270.1,0.2862632870674133,0.4649642407894135
BGC0001418.1,BGC0001426.1,0.17179584503173828,0.5855173468589783
BGC0000999.1,BGC0001553.1,0.3783150613307953,0.3849267959594727
BGC0000234.1,BGC0001723.1,0.3876841366291046,0.3773571252822876
BGC0001429.1,BGC0001431.1,0.7835367918014526,0.1148238554596901
BGC0000234.1,BGC0000262.1,0.3750910758972168,0.3875531852245331
BGC0000231.1,BGC0000234.1,0.7887357473373413,0.11189205944538116
BGC0000221.1,BGC0001895.1,0.18904976546764374,0.565201461315155
BGC0000236.1,BGC0001596.1,0.4768803715705872,0.3094347417354584
BGC0000229.1,BGC0000235.1,0.17170466482639313,0.5856273770332336
BGC0001417.1,BGC0001418.1,0.2831173241138458,0.4679122865200043
BGC0001428.1,BGC0001430.1,0.21300049126148224,0.5384802222251892
BGC0000215.1,BGC0000256.1,0.3704610764980316,0.3913448452949524
BGC0000226.1,BGC0000267.1,0.2128598988056183,0.5386325716972351
BGC0000231.1,BGC0000253.1,0.7827024459838867,0.11529526114463805
BGC0000229.1,BGC0001384.1,0.42416390776634216,0.34872132539749146
BGC0000996.1,BGC0000999.1,0.2911065518856049,0.4604570865631104
BGC0000234.1,BGC0002012.1,0.27438002824783325,0.4761870205402374
BGC0000236.1,BGC0000253.1,0.1984011679887772,0.5545775294303894
BGC0000234.1,BGC0000236.1,0.39160093665122986,0.37421974539756775
BGC0000982.1,BGC0001941.1,0.21247568726539606,0.5390491485595703
BGC0001420.1,BGC0001429.1,0.43148812651634216,0.3431224524974823
BGC0001423.1,BGC0001430.1,0.19960865378379825,0.5532241463661194
BGC0001426.1,BGC0001428.1,0.8370547294616699,0.08509303629398346
